"ID"	"Age"	"Income"	"Score"
"1"	1	47	"13532.5808550394"	66.138515016064
"2"	2	28	"6358.07235442083"	54.2595343757421
"3"	3	18	"3400.29450397595"	59.4758507143706
"4"	4	56	"739.329045603922"	72.180235190317
"5"	5	41	"8778.66484260404"	66.1825940199196
"6"	6	37	"5980.67346908377"	62.0788720063865
"7"	7	64	"4080.69903691096"	98.2600634591654
"8"	8	53	"-317.084070433046"	59.4708021823317
"9"	9	45	"6397.49020318038"	82.2062468109652
"10"	10	48	"11320.874572553"	52.215029145591
"11"	11	48	"11907.6723004116"	86.1200658837333
"12"	12	34	"6242.85133931878"	75.4975679004565
"13"	13	61	"7101.26983524503"	49.1434083506465
"14"	14	32	"10281.3282091353"	50.3069573128596
"15"	15	21	"8808.89944898586"	83.0157575942576
"16"	16	36	"2777.14746896026"	91.1603734595701
"17"	17	20	"-1067.9664358448"	43.4216571040452
"18"	18	22	"484.096091041334"	42.7323887869716
"19"	19	18	"1045.45233452671"	41.3035605940968
"20"	20	41	"1828.30587989096"	97.426526369527
"21"	21	21	"4369.96129701077"	78.4958834620193
"22"	22	24	"9945.90074356427"	82.6928159408271
"23"	23	54	"4722.84641888999"	40.9837626991794
"24"	24	18	"6669.61263569913"	52.3744721664116
"25"	25	20	"4136.03794383257"	42.620981936343
"26"	26	25	"4192.52205149428"	77.2763743018731
"27"	27	58	"12805.0994693923"	46.1307984869927
"28"	28	46	"1176.82143875413"	80.5108410166577
"29"	29	42	"11460.1097177743"	88.1167310662568
"30"	30	63	"10152.8200230255"	53.400028096512
"31"	31	61	"-1028.76540669215"	78.5169337177649
"32"	32	25	"2984.11748668774"	56.6159835876897
"33"	33	49	"3707.49501729851"	72.4971785303205
"34"	34	54	"15028.2521393544"	94.298028186895
"35"	35	53	"13908.8315743091"	65.666767982766
"36"	36	35	"2789.58684291314"	94.4190184865147
"37"	37	52	"763.368501978009"	85.4124374128878
"38"	38	21	"-3151.79297085207"	66.367619629018
"39"	39	19	"14654.4005966652"	78.2923316257074
"40"	40	33	"7268.34756507723"	76.6706580808386
"41"	41	59	"10026.3716202834"	87.458189772442
"42"	42	51	"-698.223345178"	63.585788467899
"43"	43	23	"-4699.82314444464"	58.3812240883708
"44"	44	18	"6990.9154357886"	41.4021581085399
"45"	45	64	"3301.72881192387"	72.1243765391409
"46"	46	18	"3450.02531103683"	70.0038777198642
"47"	47	54	"-183.097004010086"	83.3468933124095
"48"	48	30	"6606.38501998609"	46.3083657668903
"49"	49	52	"3640.47135645347"	81.3203727826476
"50"	50	36	"1400.44916311377"	88.7979446817189
"51"	51	37	"15062.3633138179"	40.1835294254124
"52"	52	21	"2234.90991703099"	81.8627249728888
"53"	53	19	"7025.57887614623"	62.8033745614812
"54"	54	24	"7852.26197381911"	74.617019998841
"55"	55	51	"9275.6059109995"	94.5750845503062
"56"	56	41	"6367.26541564868"	92.4485813267529
"57"	57	33	"12926.4179172564"	59.5934951957315
"58"	58	45	"5894.6595912036"	45.4963548434898
"59"	59	24	"2497.79282573404"	98.4629341540858
"60"	60	53	"1172.13016781386"	50.393987968564
